Round ,Day ,Algae,Treatment,Replicate,Chl,OD750,DOC,TDN,FvFm,pH,PO4,NH4,Si
0,4,C323,R,D,91.4,0.081,NA,NA,NA,8.462,NA,NA,NA
0,4,C323,R,E,72.3,0.069,NA,NA,NA,8.503,NA,NA,NA
0,4,C323,R,F,81.1,0.074,NA,NA,NA,8.532,NA,NA,NA
0,5,C323,F,A,119,0.094,NA,NA,NA,8.678,NA,NA,NA
0,5,C323,F,B,133,0.1,NA,NA,NA,8.878,NA,NA,NA
0,5,C323,F,C,115,0.085,NA,NA,NA,8.632,NA,NA,NA
0,5,C323,R,D,163,0.135,NA,NA,NA,8.662,NA,NA,NA
0,5,C323,R,E,126,0.096,NA,NA,NA,8.704,NA,NA,NA
0,5,C323,R,F,151,0.112,NA,NA,NA,8.692,NA,NA,NA
0,6,C323,F,A,150,0.142,69.8,9.8,0.55,8.639,24,0,160
0,6,C323,F,B,124,0.124,40.9,8.3,0.531,9.156,15,0,173
0,6,C323,F,C,138,0.126,53.9,9.1,0.581,8.684,27,0,206
0,6,C323,R,D,143,0.138,58.7,9.7,0.553,9.418,9,0,14
0,6,C323,R,E,118,0.111,41.2,7.7,0.564,8.868,25,0,224
0,6,C323,R,F,158,0.163,66.9,9.7,0.573,8.66,12,0,0
1,0,C323,F,A,7.16,0.046,5.1,366.7,0.518,7.847,114,394,1146
1,0,C323,F,B,6.84,0.046,21.8,380.3,0.498,7.776,124,398,1088
1,0,C323,F,C,7.86,0.046,9,378.5,0.475,7.757,131,401,1090
1,0,C323,R,D,6.92,0.047,66,381.2,0.467,8.662,102,368,923
1,0,C323,R,E,7.55,0.046,54.5,375.5,0.463,8.575,118,362,1116
1,0,C323,R,F,7.47,0.047,88.4,375.2,0.465,8.521,117,377,865
1,1,C323,F,A,13.5,0.049,NA,NA,NA,8.279,NA,NA,NA
1,1,C323,F,B,11.2,0.047,NA,NA,NA,8.306,NA,NA,NA
1,1,C323,F,C,12.5,0.049,NA,NA,NA,8.289,NA,NA,NA
1,1,C323,R,D,10.2,0.047,NA,NA,NA,8.424,NA,NA,NA
1,1,C323,R,E,11.2,0.051,NA,NA,NA,8.46,NA,NA,NA
1,1,C323,R,F,10.4,0.048,NA,NA,NA,8.468,NA,NA,NA
1,2,C323,F,A,34.7,0.057,NA,NA,NA,8.369,NA,NA,NA
1,2,C323,F,B,33.7,0.055,NA,NA,NA,8.434,NA,NA,NA
1,2,C323,F,C,29.3,0.055,NA,NA,NA,8.391,NA,NA,NA
1,2,C323,R,D,16.8,0.049,NA,NA,NA,8.422,NA,NA,NA
1,2,C323,R,E,35.3,0.056,NA,NA,NA,8.475,NA,NA,NA
1,2,C323,R,F,24.7,0.052,NA,NA,NA,8.534,NA,NA,NA
1,3,C323,F,A,93.4,0.079,NA,NA,NA,8.558,NA,NA,NA
1,3,C323,F,B,83.5,0.075,NA,NA,NA,8.514,NA,NA,NA
1,3,C323,F,C,73.3,0.069,NA,NA,NA,8.436,NA,NA,NA
1,3,C323,R,D,36,0.056,NA,NA,NA,8.497,NA,NA,NA
1,3,C323,R,E,61.2,0.065,NA,NA,NA,8.546,NA,NA,NA
1,3,C323,R,F,59.8,0.065,NA,NA,NA,8.592,NA,NA,NA
1,4,C323,F,A,142,0.107,NA,NA,NA,8.585,NA,NA,NA
1,4,C323,F,B,149,0.109,NA,NA,NA,8.705,NA,NA,NA
1,4,C323,F,C,116,0.082,NA,NA,NA,8.839,NA,NA,NA
1,4,C323,R,D,66.8,0.067,NA,NA,NA,8.792,NA,NA,NA
1,4,C323,R,E,128,0.093,NA,NA,NA,8.734,NA,NA,NA
1,4,C323,R,F,126,0.099,NA,NA,NA,8.735,NA,NA,NA
1,5,C323,F,A,165,0.173,41.5,9.7,0.575,8.582,19,0,117
1,5,C323,F,B,146,0.145,57.5,9,0.524,9.492,18,0,91
1,5,C323,F,C,150,0.13,49.8,8.3,0.542,8.839,32,0,180
1,5,C323,R,D,104,0.089,102.1,17.6,0.575,8.631,49,0,234
1,5,C323,R,E,123,0.131,93,16.9,0.492,9.449,19,0,136
1,5,C323,R,F,142,0.141,132.1,19,0.545,8.854,35,0,91
2,0,C323,F,A,5.75,0.044,17.7,387.5,0.536,7.876,124,387,791
2,0,C323,F,B,8.01,0.045,28,388.7,0.565,7.81,129,383,812
2,0,C323,F,C,6.52,0.047,7.9,385.2,0.553,7.775,129,386,957
2,0,C323,R,D,6.51,0.049,76.7,404.1,0.523,8.434,118,409,1135
2,0,C323,R,E,8.12,0.052,89.2,395,0.507,8.821,80,335,1020
2,0,C323,R,F,5.94,0.05,118.9,396.5,0.493,8.66,119,373,881
2,1,C323,F,A,12.4,0.047,NA,NA,NA,8.34,NA,NA,NA
2,1,C323,F,B,12.4,0.048,NA,NA,NA,8.352,NA,NA,NA
2,1,C323,F,C,10.2,0.047,NA,NA,NA,8.338,NA,NA,NA
2,1,C323,R,D,7.95,0.046,NA,NA,NA,8.542,NA,NA,NA
2,1,C323,R,E,7.01,0.048,NA,NA,NA,8.585,NA,NA,NA
2,1,C323,R,F,6.43,0.049,NA,NA,NA,8.617,NA,NA,NA
2,2,C323,F,A,32.3,0.055,NA,NA,NA,8.399,NA,NA,NA
2,2,C323,F,B,28.9,0.052,NA,NA,NA,8.407,NA,NA,NA
2,2,C323,F,C,29,0.054,NA,NA,NA,8.427,NA,NA,NA
2,2,C323,R,D,13.6,0.05,NA,NA,NA,8.534,NA,NA,NA
2,2,C323,R,E,9.75,0.05,NA,NA,NA,8.547,NA,NA,NA
2,2,C323,R,F,8.3,0.049,NA,NA,NA,8.614,NA,NA,NA
2,3,C323,F,A,91.2,0.076,NA,NA,NA,8.542,NA,NA,NA
2,3,C323,F,B,71,0.066,NA,NA,NA,8.507,NA,NA,NA
2,3,C323,F,C,80.4,0.069,NA,NA,NA,8.548,NA,NA,NA
2,3,C323,R,D,27,0.053,NA,NA,NA,8.526,NA,NA,NA
2,3,C323,R,E,17.5,0.051,NA,NA,NA,8.532,NA,NA,NA
2,3,C323,R,F,12,0.049,NA,NA,NA,8.594,NA,NA,NA
2,4,C323,F,A,155,0.11,NA,NA,NA,8.598,NA,NA,NA
2,4,C323,F,B,145,0.101,NA,NA,NA,8.608,NA,NA,NA
2,4,C323,F,C,137,0.09,NA,NA,NA,8.698,NA,NA,NA
2,4,C323,R,D,71.9,0.066,NA,NA,NA,8.601,NA,NA,NA
2,4,C323,R,E,47.7,0.062,NA,NA,NA,8.603,NA,NA,NA
2,4,C323,R,F,26.3,0.055,NA,NA,NA,8.579,NA,NA,NA
2,5,C323,F,A,167,0.151,57.4,9.1,0.557,8.577,18,0,0
2,5,C323,F,B,161,0.138,52.3,9,0.558,8.595,25,0,0
2,5,C323,F,C,152,0.133,59.9,9.4,0.552,8.837,25,0,81
2,5,C323,R,D,117,0.097,99.2,27.1,0.579,8.666,56,0,214
2,5,C323,R,E,108,0.089,101.8,22.1,0.591,8.679,46,0,203
2,5,C323,R,F,47.9,0.064,115.4,145.9,0.607,8.6,69,62,167
2,6,C323,F,A,187,0.192,80.1,12.2,0.524,8.483,0,0,0
2,6,C323,F,B,184,0.181,74.6,10.6,0.529,8.723,3,0,0
2,6,C323,F,C,177,0.168,71.7,10,0.528,8.79,2,0,0
2,6,C323,R,D,156,0.138,95.4,23.1,0.557,8.666,30,0,149
2,6,C323,R,E,143,0.131,117.4,23.4,0.551,8.852,25,0,0
2,6,C323,R,F,110,0.095,143.8,24.4,0.582,8.642,50,0,147
3,0,C323,F,A,5.3,0.045,18.7,384.7,0.553,8.006,195,404,769
3,0,C323,F,B,4.5,0.045,11.2,384.4,0.518,7.875,150,402,795
3,0,C323,F,C,4.3,0.046,3.5,385.9,0.504,7.871,146,424,762
3,0,C323,R,D,4.8,0.045,128.3,401.7,0.483,8.55,132,382,771
3,0,C323,R,E,4.85,0.046,115.6,399.4,0.475,8.699,131,376,490
3,0,C323,R,F,4.63,0.045,129.1,361,0.499,8.626,129,352,757
3,0,D046,F,A,3.48,0.045,6.3,372.8,0.516,7.98,138,376,174
3,0,D046,F,B,4.11,0.043,0.3,370,0.434,7.856,145,379,172
3,0,D046,F,C,4.23,0.045,0,374.3,0.478,7.868,146,359,156
3,0,D046,R,D,3.64,0.044,124.3,403.7,0.453,8.58,142,396,775
3,0,D046,R,E,4.22,0.044,111.1,397.8,0.476,8.704,131,390,500
3,0,D046,R,F,4.23,0.045,138.2,496.1,0.47,8.602,164,466,832
3,0,Navicula,F,A,6.41,0.046,13.7,381.6,0.562,8.011,138,451,760
3,0,Navicula,F,B,6.5,0.046,4.5,376.9,0.552,7.859,149,436,743
3,0,Navicula,F,C,6.98,0.045,3,376.3,0.566,7.841,137,404,748
3,0,Navicula,R,D,7.32,0.046,128.3,415.7,0.552,8.581,132,409,845
3,0,Navicula,R,E,8.13,0.046,109.8,394.1,0.547,8.711,131,393,491
3,0,Navicula,R,F,7.21,0.046,136.9,345.9,0.544,8.629,132,288,753
3,1,C323,F,A,NA,0.048,NA,NA,NA,NA,NA,NA,NA
3,1,C323,F,B,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,1,C323,F,C,NA,0.049,NA,NA,NA,NA,NA,NA,NA
3,1,C323,R,D,NA,0.049,NA,NA,NA,NA,NA,NA,NA
3,1,C323,R,E,NA,0.046,NA,NA,NA,NA,NA,NA,NA
3,1,C323,R,F,NA,0.045,NA,NA,NA,NA,NA,NA,NA
3,1,D046,F,A,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,1,D046,F,B,NA,0.048,NA,NA,NA,NA,NA,NA,NA
3,1,D046,F,C,NA,0.048,NA,NA,NA,NA,NA,NA,NA
3,1,D046,R,D,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,1,D046,R,E,NA,0.05,NA,NA,NA,NA,NA,NA,NA
3,1,D046,R,F,NA,0.049,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,F,A,NA,0.054,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,F,B,NA,0.054,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,F,C,NA,0.055,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,R,D,NA,0.054,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,R,E,NA,0.051,NA,NA,NA,NA,NA,NA,NA
3,1,Navicula,R,F,NA,0.051,NA,NA,NA,NA,NA,NA,NA
3,2,C323,F,A,NA,0.057,NA,NA,NA,NA,NA,NA,NA
3,2,C323,F,B,NA,0.055,NA,NA,NA,NA,NA,NA,NA
3,2,C323,F,C,NA,0.053,NA,NA,NA,NA,NA,NA,NA
3,2,C323,R,D,NA,0.048,NA,NA,NA,NA,NA,NA,NA
3,2,C323,R,E,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,2,C323,R,F,NA,0.05,NA,NA,NA,NA,NA,NA,NA
3,2,D046,F,A,NA,0.059,NA,NA,NA,NA,NA,NA,NA
3,2,D046,F,B,NA,0.058,NA,NA,NA,NA,NA,NA,NA
3,2,D046,F,C,NA,0.057,NA,NA,NA,NA,NA,NA,NA
3,2,D046,R,D,NA,0.062,NA,NA,NA,NA,NA,NA,NA
3,2,D046,R,E,NA,0.066,NA,NA,NA,NA,NA,NA,NA
3,2,D046,R,F,NA,0.066,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,F,A,NA,0.072,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,F,B,NA,0.072,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,F,C,NA,0.077,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,R,D,NA,0.076,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,R,E,NA,0.072,NA,NA,NA,NA,NA,NA,NA
3,2,Navicula,R,F,NA,0.075,NA,NA,NA,NA,NA,NA,NA
3,3,C323,F,A,NA,0.071,NA,NA,NA,NA,NA,NA,NA
3,3,C323,F,B,NA,0.075,NA,NA,NA,NA,NA,NA,NA
3,3,C323,F,C,NA,0.072,NA,NA,NA,NA,NA,NA,NA
3,3,C323,R,D,NA,0.05,NA,NA,NA,NA,NA,NA,NA
3,3,C323,R,E,NA,0.045,NA,NA,NA,NA,NA,NA,NA
3,3,C323,R,F,NA,0.05,NA,NA,NA,NA,NA,NA,NA
3,3,D046,F,A,NA,0.088,NA,NA,NA,NA,NA,NA,NA
3,3,D046,F,B,NA,0.086,NA,NA,NA,NA,NA,NA,NA
3,3,D046,F,C,NA,0.08,NA,NA,NA,NA,NA,NA,NA
3,3,D046,R,D,NA,0.1,NA,NA,NA,NA,NA,NA,NA
3,3,D046,R,E,NA,0.099,NA,NA,NA,NA,NA,NA,NA
3,3,D046,R,F,NA,0.094,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,F,A,NA,0.07,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,F,B,NA,0.067,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,F,C,NA,0.077,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,R,D,NA,0.083,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,R,E,NA,0.095,NA,NA,NA,NA,NA,NA,NA
3,3,Navicula,R,F,NA,0.098,NA,NA,NA,NA,NA,NA,NA
3,4,C323,F,A,82.2,0.081,14.9,79.3,0.538,9.04,58,52,377
3,4,C323,F,B,82.3,0.076,13,80.6,0.541,9.075,56,57,369
3,4,C323,F,C,78.2,0.084,11.8,85.7,0.509,9.051,58,64,399
3,4,C323,R,D,9.45,0.052,99.1,345,0.482,8.692,115,87,411
3,4,C323,R,E,2.24,0.045,111.8,386.6,0.456,8.684,99,78,326
3,4,C323,R,F,14.1,0.052,126.6,277.5,0.487,8.715,100,72,375
3,4,D046,F,A,115,0.128,40.1,8.3,0.502,9.808,5,0,NA
3,4,D046,F,B,111,0.123,30.6,6.7,0.488,9.756,6,0,NA
3,4,D046,F,C,112,0.118,21.5,6.6,0.487,9.726,7,0,NA
3,4,D046,R,D,124,0.17,150.7,31.4,0.442,9.377,10,0,NA
3,4,D046,R,E,150,0.147,135.2,30.1,0.476,9.554,4,0,NA
3,4,D046,R,F,160,0.174,165.4,31.9,0.483,9.552,10,0,NA
3,4,Navicula,F,A,34.5,0.076,72.5,14.9,0.514,9.487,11,5,68
3,4,Navicula,F,B,38.7,0.08,68.4,16.2,0.51,9.501,11,8,81
3,4,Navicula,F,C,37.2,0.086,66.1,14.4,0.509,9.575,8,6,23
3,4,Navicula,R,D,55.2,0.103,153.5,31.8,0.565,9.862,1,0,NA
3,4,Navicula,R,E,67.6,0.1,159.4,29.7,0.613,10.049,1,0,NA
3,4,Navicula,R,F,39.8,0.093,192.2,30.1,0.582,9.833,2,0,NA
3,5,C323,F,A,NA,0.099,NA,NA,NA,NA,NA,NA,NA
3,5,C323,F,B,NA,0.092,NA,NA,NA,NA,NA,NA,NA
3,5,C323,F,C,NA,0.088,NA,NA,NA,NA,NA,NA,NA
3,5,C323,R,D,NA,0.052,NA,NA,NA,NA,NA,NA,NA
3,5,C323,R,E,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,5,C323,R,F,NA,0.058,NA,NA,NA,NA,NA,NA,NA
3,5,D046,F,A,NA,0.148,NA,NA,NA,NA,NA,NA,NA
3,5,D046,F,B,NA,0.146,NA,NA,NA,NA,NA,NA,NA
3,5,D046,F,C,NA,0.138,NA,NA,NA,NA,NA,NA,NA
3,5,D046,R,D,NA,0.199,NA,NA,NA,NA,NA,NA,NA
3,5,D046,R,E,NA,0.17,NA,NA,NA,NA,NA,NA,NA
3,5,D046,R,F,NA,0.242,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,F,A,NA,0.107,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,F,B,NA,0.102,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,F,C,NA,0.092,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,R,D,NA,0.107,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,R,E,NA,0.109,NA,NA,NA,NA,NA,NA,NA
3,5,Navicula,R,F,NA,0.108,NA,NA,NA,NA,NA,NA,NA
3,6,C323,F,A,NA,0.1,NA,NA,NA,NA,NA,NA,NA
3,6,C323,F,B,NA,0.088,NA,NA,NA,NA,NA,NA,NA
3,6,C323,F,C,NA,0.091,NA,NA,NA,NA,NA,NA,NA
3,6,C323,R,D,NA,0.051,NA,NA,NA,NA,NA,NA,NA
3,6,C323,R,E,NA,0.047,NA,NA,NA,NA,NA,NA,NA
3,6,C323,R,F,NA,0.063,NA,NA,NA,NA,NA,NA,NA
3,6,D046,F,A,NA,0.15,NA,NA,NA,NA,NA,NA,NA
3,6,D046,F,B,NA,0.146,NA,NA,NA,NA,NA,NA,NA
3,6,D046,F,C,NA,0.139,NA,NA,NA,NA,NA,NA,NA
3,6,D046,R,D,NA,0.195,NA,NA,NA,NA,NA,NA,NA
3,6,D046,R,E,NA,0.173,NA,NA,NA,NA,NA,NA,NA
3,6,D046,R,F,NA,0.264,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,F,A,NA,0.108,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,F,B,NA,0.1,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,F,C,NA,0.109,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,R,D,NA,0.139,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,R,E,NA,0.133,NA,NA,NA,NA,NA,NA,NA
3,6,Navicula,R,F,NA,0.103,NA,NA,NA,NA,NA,NA,NA
3,7,C323,F,A,NA,0.108,NA,NA,NA,NA,NA,NA,NA
3,7,C323,F,B,NA,0.099,NA,NA,NA,NA,NA,NA,NA
3,7,C323,F,C,NA,0.105,NA,NA,NA,NA,NA,NA,NA
3,7,C323,R,D,NA,0.054,NA,NA,NA,NA,NA,NA,NA
3,7,C323,R,E,NA,0.046,NA,NA,NA,NA,NA,NA,NA
3,7,C323,R,F,NA,0.073,NA,NA,NA,NA,NA,NA,NA
3,7,D046,F,A,NA,0.142,NA,NA,NA,NA,NA,NA,NA
3,7,D046,F,B,NA,0.145,NA,NA,NA,NA,NA,NA,NA
3,7,D046,F,C,NA,0.14,NA,NA,NA,NA,NA,NA,NA
3,7,D046,R,D,NA,0.208,NA,NA,NA,NA,NA,NA,NA
3,7,D046,R,E,NA,0.174,NA,NA,NA,NA,NA,NA,NA
3,7,D046,R,F,NA,0.273,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,F,A,NA,0.115,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,F,B,NA,0.115,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,F,C,NA,0.101,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,R,D,NA,0.117,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,R,E,NA,0.137,NA,NA,NA,NA,NA,NA,NA
3,7,Navicula,R,F,NA,0.117,NA,NA,NA,NA,NA,NA,NA
3,8,C323,F,A,166,0.122,53.6,11.1,0.247,9.375,11,3,68
3,8,C323,F,B,157,0.115,52,10.9,0.228,9.399,12,1,79
3,8,C323,F,C,161,0.115,35.1,10,0.267,9.429,10,0,69
3,8,C323,R,D,23.5,0.06,124.3,231.5,0.543,8.847,84,75,143
3,8,C323,R,E,1.93,0.047,115.7,390.7,0.408,8.698,124,76,98
3,8,C323,R,F,89.7,0.097,174.3,33.5,0.554,9.257,31,2,81
3,8,D046,F,A,164,0.152,73.9,8.3,0.391,9.938,5,0,NA
3,8,D046,F,B,155,0.152,89.7,10.5,0.38,10.016,4,0,NA
3,8,D046,F,C,170,0.147,68,9.5,0.353,10.051,3,0,NA
3,8,D046,R,D,164,0.208,200.8,33.2,0.362,9.978,2,0,NA
3,8,D046,R,E,187,0.189,182.4,32.6,0.369,10.034,1,0,NA
3,8,D046,R,F,259,0.279,210.5,32.8,0.427,9.95,2,0,NA
3,8,Navicula,F,A,84.8,0.115,141.8,15.5,0.454,10.053,4,0,NA
3,8,Navicula,F,B,91.5,0.105,152.5,17,0.435,10.102,2,0,NA
3,8,Navicula,F,C,85.4,0.107,142.7,15.9,0.439,9.984,3,0,NA
3,8,Navicula,R,D,107,0.122,257.4,37.9,0.439,9.993,1,1,NA
3,8,Navicula,R,E,107,0.112,250.6,34.6,0.48,9.974,1,1,NA
3,8,Navicula,R,F,96.4,0.117,249.3,35.4,0.439,10.001,1,0,NA
