# Constructed from biom file																						
#OTU ID	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21	taxonomy
OTU_14	802.6666667	1452	1077	1123	705.6666667	966	880.6666667	8	3.666666667	5	12	3	2	1	510	142.6666667	157.6666667	140	246	230.3333333	303.3333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Marivita; s__
OTU_24	6	7.666666667	11.66666667	11	7	9.333333333	8.333333333	269	45.33333333	31.66666667	40.66666667	92.33333333	19.66666667	59	1	0	0.666666667	1	0.333333333	0	0.666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_29	0	0	0	0.666666667	0	0	0	15	17.66666667	23.33333333	21.66666667	47	41.33333333	48	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_33	0	0	0	0	0	0	0	4	7	6	8.666666667	4.333333333	6.333333333	11.33333333	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Oceanicaulis; s__
OTU_32	0	0	0	0	0	0	0	29	5.333333333	2	2.666666667	0	2.333333333	4.666666667	3.666666667	0	0.666666667	0.333333333	0	0	1.333333333	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnobacter; s__
OTU_39	0	0	0	0	0	0	0	6	5.333333333	4	1.333333333	1	0	0.666666667	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Glaciecola
OTU_5	0	0	0	0	0	0.666666667	0	1	0.333333333	0.666666667	1.333333333	0	0	3.666666667	2904	1274	1531	1289.333333	1640	950.6666667	2163	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_10	0	0	0	0	0	0	0	2	0.666666667	1.333333333	0	56.33333333	10.66666667	14.33333333	247.3333333	1549	1523.666667	1125	888.6666667	459	1297	k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1; s__
OTU_18	495.3333333	287.3333333	278	376	564	557.3333333	651.6666667	4	1.333333333	0.666666667	0.666666667	2.666666667	1.333333333	0.333333333	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__
OTU_16	52	67.33333333	72	58.66666667	120	312	254.6666667	0	0	0.666666667	0	583	829.3333333	841.6666667	0.333333333	0	0	2	614.3333333	570.3333333	711.6666667	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae
OTU_25	0	0	0	0	42.33333333	14.66666667	31.66666667	0	0	0	0	71.66666667	8.666666667	153	0	0	0	0	14.66666667	2.333333333	30.66666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__ML110J-20; s__
OTU_27	16	9.333333333	16.66666667	17	10.66666667	29.33333333	15.33333333	0	0	0	0	16.66666667	37	44.66666667	0	0	0	0	35.66666667	89.66666667	100	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae
OTU_34	0	0	0	0	0	0	0	5	0	0	0	9	0	1	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0.666666667	0	1.666666667	0	1.333333333	0	0	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
OTU_47	0	0	0	0	0	0	0	1	0	0	0	0	0.333333333	1.333333333	0	0	0	0	0	0.666666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_40	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	1.333333333	1.333333333	0.666666667	1.333333333	1	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
OTU_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC2188; f__; g__; s__
OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0.666666667	0	0	0.333333333	2	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__ML110J-20; s__
OTU_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0.666666667	0	0	0.333333333	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
OTU_8	789.6666667	1493.333333	1495.333333	1624.333333	1330.333333	1750.333333	1817.666667	1	0.666666667	0	0	0	0	0	0	0	0.333333333	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.666666667	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Octadecabacter; s__
OTU_21	692	314.6666667	451.3333333	550	127.3333333	22	552.3333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
OTU_23	111	36.66666667	24.66666667	38.66666667	180.6666667	81.33333333	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_28	5	17.66666667	22	24	43.66666667	83.66666667	29.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__HTCC2188; g__HTCC; s__
OTU_31	2	0.666666667	2.333333333	3.333333333	5.333333333	19	6.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__
OTU_35	0	0	2.333333333	1	0.666666667	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
