"","pathway","log2FoldChange","padj","description"
"21","PWY-1269",0.0729635612072532,0.010621034117626,"CMP-3-deoxy-D-manno-octulosonate biosynthesis I"
"22","PWY-1541",-0.665485474603082,0.00625035988771797,"superpathway of taurine degradation"
"23","PWY-1622",1.95101201012607,4.36951312833e-16,"formaldehyde assimilation I (serine pathway)"
"24","PWY-1861",-1.05085754539411,0.00640615330010598,"formaldehyde assimilation II (RuMP Cycle)"
"25","PWY-5028",1.11936294354535,9.07420765953337e-06,"L-histidine degradation II"
"26","PWY-5121",0.0715665977229395,0.0493761999644668,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"27","PWY-5154",-0.0864776793063422,0.0167788414213198,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"28","PWY-5505",0.350556671343784,0.0045798981052564,"L-glutamate and L-glutamine biosynthesis"
"29","PWY-5509",2.20128493591036,1.11206286765931e-25,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"30","PWY-5529",5.33845015558353,9.10655402439833e-06,"superpathway of bacteriochlorophyll a biosynthesis"
"31","PWY-5531",1.52613710153513,1.52499197304838e-16,"chlorophyllide a biosynthesis II (anaerobic)"
"32","PWY-5705",-2.61921923917321,1.61456889850557e-07,"allantoin degradation to glyoxylate III"
"33","PWY-5741",0.520236622692266,0.00215483663115112,"ethylmalonyl-CoA pathway"
"34","PWY-5838",7.6658622061749,0.0136050446964695,"superpathway of menaquinol-8 biosynthesis I"
"35","PWY-5855",0.112106763799428,0.000382737070547231,"ubiquinol-7 biosynthesis (prokaryotic)"
"36","PWY-5856",0.112106763799428,0.000382737070547231,"ubiquinol-9 biosynthesis (prokaryotic)"
"37","PWY-5857",0.112106763799428,0.000382737070547231,"ubiquinol-10 biosynthesis (prokaryotic)"
"38","PWY-5861",7.08095781636895,0.0278533932966263,"superpathway of demethylmenaquinol-8 biosynthesis"
"39","PWY-5897",7.46552465179274,0.0172982022576049,"superpathway of menaquinol-11 biosynthesis"
"40","PWY-5898",7.46552465179274,0.0172982022576049,"superpathway of menaquinol-12 biosynthesis"
"41","PWY-5899",7.46552465179274,0.0172982022576049,"superpathway of menaquinol-13 biosynthesis"
"42","PWY-5913",0.445729415820292,0.023812716404822,"TCA cycle VI (obligate autotrophs)"
"43","PWY-6122",0.0515436288696299,0.0483794578140997,"5-aminoimidazole ribonucleotide biosynthesis II"
"44","PWY-6151",1.05831899593962,5.77050869951791e-05,"S-adenosyl-L-methionine cycle I"
"45","PWY-6269",2.21964694218264,1.17664904098037e-25,"adenosylcobalamin salvage from cobinamide II"
"46","PWY-6277",0.0515436288696299,0.0483794578140997,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"47","PWY-6562",0.629407203578714,0.0173633756820308,"norspermidine biosynthesis"
"48","PWY-6581",2.37243697040931,2.21137389617282e-23,"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
"49","PWY-6612",0.297002766811639,0.00286824134921443,"superpathway of tetrahydrofolate biosynthesis"
"50","PWY-6641",0.603020621826377,0.0167316052784941,"superpathway of sulfolactate degradation"
"51","PWY-6708",0.112106763799428,0.000382737070547231,"ubiquinol-8 biosynthesis (prokaryotic)"
"52","PWY-6876",1.04322383726698,0.038758861837769,"isopropanol biosynthesis"
"53","PWY-6891",-2.60337556450893,9.12260906714245e-08,"thiazole biosynthesis II (Bacillus)"
"54","PWY-6892",-2.59611008185135,3.16790247346285e-08,"thiazole biosynthesis I (E. coli)"
"55","PWY-6895",-2.38037503641232,3.72588193523846e-10,"superpathway of thiamin diphosphate biosynthesis II"
"56","PWY-7094",-0.330243734341919,0.0199741741751629,"fatty acid salvage"
"57","PWY-7159",1.52613710153513,1.52499197304838e-16,"chlorophyllide a biosynthesis III (aerobic, light independent)"
"58","PWY-7196",0.153710992709193,0.0173633756820308,"superpathway of pyrimidine ribonucleosides salvage"
"59","PWY-7323",-0.34314685404438,0.00980641195064054,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"
"60","PWY-7376",1.90430606401621,9.28692709559992e-32,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"61","PWY-7392",0.399474086468812,0.000177817572461931,"taxadiene biosynthesis (engineered)"
"62","PWY-7400",-0.0846096814066936,0.0119853078363262,"L-arginine biosynthesis IV (archaebacteria)"
"63","PWY-7431",0.351391018263174,0.0241686513045089,"aromatic biogenic amine degradation (bacteria)"
"64","PWY-7663",-0.0725583333877022,0.00980641195064054,"gondoate biosynthesis (anaerobic)"
"65","PWY0-1261",0.224644022999946,2.49285925656834e-05,"anhydromuropeptides recycling"
"66","PWY0-1533",1.34575900494393,1.85266444948577e-23,"methylphosphonate degradation I"
"67","RUMP-PWY",-1.05439686145118,0.00690873824092685,"formaldehyde oxidation I"
"68","SO4ASSIM-PWY",-0.120556553835924,0.0045798981052564,"sulfate reduction I (assimilatory)"
"69","SULFATE-CYS-PWY",-0.0618946078472911,0.0413829644073332,"superpathway of sulfate assimilation and cysteine biosynthesis"
"70","THISYN-PWY",-2.32259388427634,3.05812942490369e-10,"superpathway of thiamin diphosphate biosynthesis I"
