"","pathway","log2FoldChange","padj","description"
"58","PWY-5741",0.401637167752719,0.0113524146767739,"ethylmalonyl-CoA pathway"
"59","PWY-5838",7.58132878338963,0.0108501020597764,"superpathway of menaquinol-8 biosynthesis I"
"60","PWY-5840",7.58132878338963,0.0108501020597764,"superpathway of menaquinol-7 biosynthesis"
"61","PWY-5861",7.00297447816333,0.0257042580148912,"superpathway of demethylmenaquinol-8 biosynthesis"
"62","PWY-5897",7.38311112254539,0.0143072968948534,"superpathway of menaquinol-11 biosynthesis"
"63","PWY-5898",7.38311112254539,0.0143072968948534,"superpathway of menaquinol-12 biosynthesis"
"64","PWY-5899",7.38311112254539,0.0143072968948534,"superpathway of menaquinol-13 biosynthesis"
"65","PWY-5910",10.7840972406873,4.02841398266524e-33,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"66","PWY-5913",0.548977728398833,0.00061403792472502,"TCA cycle VI (obligate autotrophs)"
"67","PWY-5920",-0.0621405082752953,0.0275185007065924,"superpathway of heme biosynthesis from glycine"
"68","PWY-6122",0.111460910187295,4.11541080341934e-06,"5-aminoimidazole ribonucleotide biosynthesis II"
"69","PWY-6125",-0.0562188876206407,0.0143072968948534,"superpathway of guanosine nucleotides de novo biosynthesis II"
"70","PWY-6151",0.960741665992041,8.75480477847038e-05,"S-adenosyl-L-methionine cycle I"
"71","PWY-6269",2.50212685330851,3.74231535163779e-49,"adenosylcobalamin salvage from cobinamide II"
"72","PWY-6277",0.111460910187295,4.11541080341934e-06,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"73","PWY-6282",-0.121227073159885,0.0108993857242817,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"74","PWY-6317",1.66160665521341,1.06771239659779e-08,"galactose degradation I (Leloir pathway)"
"75","PWY-6507",1.65927756983262,5.78816518858158e-09,"4-deoxy-L-threo-hex-4-enopyranuronate degradation"
"76","PWY-6562",0.593897042546891,0.0200115374682045,"norspermidine biosynthesis"
"77","PWY-6581",2.25392462908963,1.12397747815386e-22,"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
"78","PWY-6588",2.96138506790718,1.21133478259605e-13,"pyruvate fermentation to acetone"
"79","PWY-6612",0.315496772652925,0.000232547934724964,"superpathway of tetrahydrofolate biosynthesis"
"80","PWY-6641",0.519063407924916,0.0231437618957704,"superpathway of sulfolactate degradation"
"81","PWY-6749",2.50286348213625,5.16672222358354e-19,"CMP-legionaminate biosynthesis I"
"82","PWY-6876",1.25405564654327,0.00245541740557566,"isopropanol biosynthesis"
"83","PWY-6891",-2.72187127635689,3.57240677107116e-09,"thiazole biosynthesis II (Bacillus)"
"84","PWY-6892",2.28305438394918,1.20163100202924e-11,"thiazole biosynthesis I (E. coli)"
"85","PWY-6895",-2.49886141546289,4.32442009171628e-12,"superpathway of thiamin diphosphate biosynthesis II"
"86","PWY-6901",1.40811476447399,3.33430669005404e-15,"superpathway of glucose and xylose degradation"
"87","PWY-7094",-0.427886581551125,0.000767182348084187,"fatty acid salvage"
"88","PWY-7159",1.41508190377004,1.85394415910051e-15,"chlorophyllide a biosynthesis III (aerobic, light independent)"
"89","PWY-7187",0.766949146889078,1.16663732240564e-11,"pyrimidine deoxyribonucleotides de novo biosynthesis II"
"90","PWY-7196",0.354386463049878,2.40802043103008e-13,"superpathway of pyrimidine ribonucleosides salvage"
"91","PWY-7323",-0.264847062954507,0.00462941973433771,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"
"92","PWY-7376",1.89120340378804,5.69364937841509e-38,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"93","PWY-7391",7.77787998932261,1.24196701488158e-10,"isoprene biosynthesis II (engineered)"
"94","PWY-7392",0.398467045069205,1.33881269925795e-05,"taxadiene biosynthesis (engineered)"
"95","PWY-7560",-0.101749096889726,9.59872098438338e-05,"methylerythritol phosphate pathway II"
"96","PWY-7663",-0.116891501963433,1.61398930963336e-06,"gondoate biosynthesis (anaerobic)"
"97","PWY-7664",-0.118010588417077,0.00948237996812587,"oleate biosynthesis IV (anaerobic)"
"98","PWY-922",10.9642555490741,1.45311417084198e-23,"mevalonate pathway I"
"99","PWY0-1061",2.23927106326383,2.30080509878174e-11,"superpathway of L-alanine biosynthesis"
"100","PWY0-1241",-0.671165150724185,0.00943681982023645,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"101","PWY0-1261",0.132300984620172,0.0142153379920828,"anhydromuropeptides recycling"
"102","PWY0-1297",0.19961379996896,0.0200115374682045,"superpathway of purine deoxyribonucleosides degradation"
"103","PWY0-1319",-0.103392640987829,0.0276352113711206,"CDP-diacylglycerol biosynthesis II"
"104","PWY0-1415",1.05771807445015,1.96008642024304e-09,"superpathway of heme biosynthesis from uroporphyrinogen-III"
"105","PWY0-1533",1.24878667862712,1.0236876863513e-20,"methylphosphonate degradation I"
"106","PWY0-862",-0.110475945984097,0.0231437618957704,"(5Z)-dodec-5-enoate biosynthesis"
"107","PWYG-321",-0.119238221351881,0.0106876898728848,"mycolate biosynthesis"
"108","PYRIDNUCSYN-PWY",0.163711740958135,0.0345111898189507,"NAD biosynthesis I (from aspartate)"
"109","RIBOSYN2-PWY",-0.0536611588030896,0.0328745792775688,"flavin biosynthesis I (bacteria and plants)"
"110","RUMP-PWY",-1.15676527214124,0.00131411090946183,"formaldehyde oxidation I"
"111","SO4ASSIM-PWY",-0.201355997606607,1.11451652898783e-07,"sulfate reduction I (assimilatory)"
"112","SULFATE-CYS-PWY",-0.102821633788152,2.74683283713517e-05,"superpathway of sulfate assimilation and cysteine biosynthesis"
"113","TCA-GLYOX-BYPASS",-0.200182055267539,0.00165393483792861,"superpathway of glyoxylate bypass and TCA"
"114","THISYN-PWY",1.37381894752555,5.29301153736039e-08,"superpathway of thiamin diphosphate biosynthesis I"
"115","UBISYN-PWY",-0.13371777784683,0.0304628625430341,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
