description,pathway,log2FoldChange_C323,padj_C323,log2FoldChange_D046,padj_D046,log2FoldChange_Navi,padj_Navi
heme biosynthesis I (aerobic),HEME-BIOSYNTHESIS-II,NA,NA,-0.098964976,9.80E-05,-0.062690925,0.014316609
lipid IVA biosynthesis,NAGLIPASYN-PWY,NA,NA,-0.094560766,0.000475838,NA,NA
L-leucine degradation I,LEU-DEG2-PWY,NA,NA,-0.087017964,0.007714218,NA,NA
aerobic respiration I (cytochrome c),PWY-3781,NA,NA,-0.073435317,3.38E-06,-0.041933587,0.015314087
pyruvate fermentation to propanoate I,P108-PWY,NA,NA,-0.071539406,0.003336623,-0.06892481,0.008842987
superpathway of fatty acid biosynthesis initiation (E. coli),FASYN-INITIAL-PWY,NA,NA,-0.071400265,0.039158822,NA,NA
coenzyme A biosynthesis I,COA-PWY,NA,NA,-0.067296865,0.009056679,NA,NA
L-lysine biosynthesis I,DAPLYSINESYN-PWY,NA,NA,-0.06712531,0.010899386,NA,NA
heme biosynthesis II (anaerobic),HEMESYN2-PWY,NA,NA,-0.064707808,0.005973185,NA,NA
superpathway of guanosine nucleotides de novo biosynthesis II,PWY-6125,NA,NA,-0.056218888,0.014307297,NA,NA
flavin biosynthesis I (bacteria and plants),RIBOSYN2-PWY,NA,NA,-0.053661159,0.032874579,NA,NA
5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122,NA,NA,0.11146091,4.12E-06,NA,NA
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PWY-6277,NA,NA,0.11146091,4.12E-06,NA,NA
L-glutamate and L-glutamine biosynthesis,PWY-5505,NA,NA,0.386504473,0.000156793,0.524597457,0.009364278
TCA cycle VI (obligate autotrophs),PWY-5913,NA,NA,0.548977728,0.000614038,NA,NA
norspermidine biosynthesis,PWY-6562,NA,NA,0.593897043,0.020011537,NA,NA
homolactic fermentation,ANAEROFRUCAT-PWY,NA,NA,0.689429351,0.002659552,NA,NA
ketogluconate metabolism,KETOGLUCONMET-PWY,NA,NA,1.066255839,0.010899386,NA,NA
isopropanol biosynthesis,PWY-6876,NA,NA,1.254055647,0.002455417,NA,NA
colanic acid building blocks biosynthesis,COLANSYN-PWY,NA,NA,1.33476569,1.79E-07,NA,NA
4-deoxy-L-threo-hex-4-enopyranuronate degradation,PWY-6507,NA,NA,1.65927757,5.79E-09,1.615134526,1.44E-16
formaldehyde assimilation I (serine pathway),PWY-1622,NA,NA,1.885296235,9.07E-17,NA,NA
"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",PWY-7376,NA,NA,1.891203404,5.69E-38,3.66731318,1.51E-15
ectoine biosynthesis,P101-PWY,NA,NA,2.024379713,7.05E-14,NA,NA
pyruvate fermentation to acetone,PWY-6588,NA,NA,2.961385068,1.21E-13,NA,NA
D-galactarate degradation I,GALACTARDEG-PWY,NA,NA,5.13040229,0.000232643,-1.522624465,0.005640007
superpathway of D-glucarate and D-galactarate degradation,GLUCARGALACTSUPER-PWY,NA,NA,5.13040229,0.000232643,-1.522624465,0.005640007
superpathway of bacteriochlorophyll a biosynthesis,PWY-5529,NA,NA,5.23392314,5.92E-06,-1.465123447,0.001369195
"chlorophyllide a biosynthesis I (aerobic, light-dependent)",CHLOROPHYLL-SYN,NA,NA,5.259746143,2.06E-05,-1.50413961,0.001600982
coenzyme M biosynthesis I,P261-PWY,NA,NA,5.325435314,0.00015046,NA,NA
superpathway of demethylmenaquinol-8 biosynthesis,PWY-5861,NA,NA,7.002974478,0.025704258,NA,NA
superpathway of menaquinol-11 biosynthesis,PWY-5897,NA,NA,7.383111123,0.014307297,NA,NA
superpathway of menaquinol-12 biosynthesis,PWY-5898,NA,NA,7.383111123,0.014307297,NA,NA
superpathway of menaquinol-13 biosynthesis,PWY-5899,NA,NA,7.383111123,0.014307297,NA,NA
superpathway of menaquinol-8 biosynthesis I,PWY-5838,NA,NA,7.581328783,0.010850102,NA,NA
superpathway of menaquinol-7 biosynthesis,PWY-5840,NA,NA,7.581328783,0.010850102,NA,NA
superpathway of N-acetylneuraminate degradation,P441-PWY,NA,NA,9.931574961,7.71E-40,8.918018287,1.75E-05
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",GLCMANNANAUT-PWY,NA,NA,10.75277102,3.96E-23,9.628531709,9.13E-44
catechol degradation to 2-oxopent-4-enoate II,PWY-5419,NA,NA,NA,NA,-1.143380338,0.048755739
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",P4-PWY,NA,NA,NA,NA,-0.183004608,0.000443493
aspartate superpathway,PWY0-781,NA,NA,NA,NA,-0.115143798,0.033647674
superpathway of arginine and polyamine biosynthesis,ARG+POLYAMINE-SYN,NA,NA,NA,NA,1.019865616,1.46E-06
superpathway of polyamine biosynthesis I,POLYAMSYN-PWY,NA,NA,NA,NA,1.06008239,1.84E-06
